name,description,No.,the_geom,CODIGO,LATITUD,LONGITUD,ESTADO,unnamed (1),unnamed (2)
CALLE 72 CON CARRERA 44 BARRANQUILLA,No.: 198<br>CODIGO: 1330<br>LATITUD: 10.9925193<br>LONGITUD: -74.806522<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,198,POINT (-74.806522 10.9925193),1330,10.9925193,-74.806522,Funcionando,,
CALLE 72 CON CARRERA 46 BARRANQUILLA,No.: 199<br>CODIGO: 7246<br>LATITUD: 10.9943913<br>LONGITUD: -74.8055641<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,199,POINT (-74.8055641 10.9943913),7246,10.9943913,-74.8055641,Funcionando,,
CALLE 72 CON CARRERA 47 BARRANQUILLA,No.: 200<br>CODIGO: 7246<br>LATITUD: 10.9950587<br>LONGITUD: -74.8051319<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,200,POINT (-74.8051319 10.9950587),7246,10.9950587,-74.8051319,Funcionando,,
CALLE 72 CON CARRERA 49 BARRANQUILLA,No.: 201<br>CODIGO: 7248<br>LATITUD: 10.9965549<br>LONGITUD: -74.8042551<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,201,POINT (-74.8042551 10.9965549),7248,10.9965549,-74.8042551,Funcionando,,
CALLE 72 CON CARRERA 50 BARRANQUILLA,No.: 202<br>CODIGO: 1259<br>LATITUD: 10.9973183<br>LONGITUD: -74.8037816<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,202,POINT (-74.8037816 10.9973183),1259,10.9973183,-74.8037816,Funcionando,,
CALLE 72 CON CARRERA 52 BARRANQUILLA,No.: 203<br>CODIGO: 1259<br>LATITUD: 10.9977678<br>LONGITUD: -74.8032762<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,203,POINT (-74.8032762 10.9977678),1259,10.9977678,-74.8032762,Funcionando,,
CALLE 72 CON CARRERA 53 BARRANQUILLA,No.: 204<br>CODIGO: 7254<br>LATITUD: 10.9983184<br>LONGITUD: -74.8024851<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,204,POINT (-74.8024851 10.9983184),7254,10.9983184,-74.8024851,Funcionando,,
CALLE 72 CON CARRERA 54 BARRANQUILLA,No.: 205<br>CODIGO: 7254<br>LATITUD: 10.9989782<br>LONGITUD: -74.801579<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,205,POINT (-74.801579 10.9989782),7254,10.9989782,-74.801579,Funcionando,,
CALLE 72 CON CARRERA 57 BARRANQUILLA,No.: 206<br>CODIGO: 7257<br>LATITUD: 11.0006366<br>LONGITUD: -74.7992663<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,206,POINT (-74.7992663 11.0006366),7257,11.0006366,-74.7992663,Funcionando,,
CALLE 72 CON CARRERA 58 BARRANQUILLA,No.: 207<br>CODIGO: 7258<br>LATITUD: 11.0012906<br>LONGITUD: -74.7984009<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,207,POINT (-74.7984009 11.0012906),7258,11.0012906,-74.7984009,Funcionando,,
