columna georreferenciada,LATITUD,LONGITUD,No,TIPO DE INFRACCIÓN,description,name,point
POINT (-74.830563 10.943326),10.943326,-74.830563,23.0,EXCESO DE VELOCIDAD,No.: 23<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.943326<br>LONGITUD: -74.830563,Carrera 6 (Cordialidad) entre calles 99B y 99C,POINT (-74.830563 10.943326)
POINT (-74.83438 11.01742),11.01742,-74.83438,24.0,EXCESO DE VELOCIDAD,No.: 24<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 11.01742<br>LONGITUD: -74.83438,Carrera 53 - Calle 106,POINT (-74.83438 11.01742)
POINT (-74.82514 11.01575),11.01575,-74.82514,25.0,EXCESO DE VELOCIDAD,No.: 25<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 11.01575<br>LONGITUD: -74.82514,Calle 98 # 56-162,POINT (-74.82514 11.01575)
POINT (-74.823 10.97109),10.97109,-74.823,26.0,EXCESO DE VELOCIDAD,No.: 26<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.97109<br>LONGITUD: -74.823,Carrera 21 # 78-44,POINT (-74.823 10.97109)
POINT (-74.77608000000001 10.95356),10.95356,-74.77608,27.0,EXCESO DE VELOCIDAD,No.: 27<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.95356<br>LONGITUD: -74.77608,Carrera 15 # 18 - 102,POINT (-74.77608000000001 10.95356)
POINT (-74.82071 11.01561),11.01561,-74.82071,28.0,EXCESO DE VELOCIDAD,No.: 28<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 11.01561<br>LONGITUD: -74.82071,Calle 94 # 57-57,POINT (-74.82071 11.01561)
POINT (-74.78356 10.942760000000002),10.94276,-74.78356,29.0,EXCESO DE VELOCIDAD,No.: 29<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.94276<br>LONGITUD: -74.78356,Calle 30 # 5A-121 (Coltanques),POINT (-74.78356 10.942760000000002)
POINT (-74.82306 10.97935),10.97935,-74.82306,30.0,EXCESO DE VELOCIDAD,No.: 30<br>TIPO DE INFRACCIÓN: EXCESO DE VELOCIDAD<br>LATITUD: 10.97935<br>LONGITUD: -74.82306,Calle 82B # 26C1 - 60 (casa esquina),POINT (-74.82306 10.97935)
POINT (-74.79734 10.95467),10.95467,-74.79734,31.0,BLOQUEAR CRUCE,No.: 31<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 10.95467<br>LONGITUD: -74.79734,Calle 45B con carrera 14,POINT (-74.79734 10.95467)
POINT (-74.81254 11.0074),11.0074,-74.81254,32.0,BLOQUEAR CRUCE,No.: 32<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 11.0074<br>LONGITUD: -74.81254,Calle 82 con carrera 56,POINT (-74.81254 11.0074)
POINT (-74.78975 10.98771),10.98771,-74.78975,33.0,BLOQUEAR CRUCE,No.: 33<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 10.98771<br>LONGITUD: -74.78975,Calle 53 con carrera 45,POINT (-74.78975 10.98771)
POINT (-74.8034 10.99322),10.99322,-74.8034,34.0,BLOQUEAR CRUCE,No.: 34<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 10.99322<br>LONGITUD: -74.8034,Calle 70 con carrera 46,POINT (-74.8034 10.99322)
POINT (-74.7775 10.98383),10.98383,-74.7775,35.0,BLOQUEAR CRUCE,No.: 35<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 10.98383<br>LONGITUD: -74.7775,Calle 34 con carrera 45,POINT (-74.7775 10.98383)
POINT (-74.78989 10.96959),10.96959,-74.78989,36.0,BLOQUEAR CRUCE,No.: 36<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 10.96959<br>LONGITUD: -74.78989,Calle 45 con carrera 27,POINT (-74.78989 10.96959)
POINT (-74.80666 10.99261),10.99261,-74.80666,37.0,BLOQUEAR CRUCE,No.: 37<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 10.99261<br>LONGITUD: -74.80666,Calle 72 con carrera 44,POINT (-74.80666 10.99261)
POINT (-74.81435 11.00457),11.00457,-74.81435,38.0,BLOQUEAR CRUCE,No.: 38<br>TIPO DE INFRACCIÓN: BLOQUEAR CRUCE <br>LATITUD: 11.00457<br>LONGITUD: -74.81435,Calle 82 con carrera 51B,POINT (-74.81435 11.00457)
